celltype region case velocity nCells avgSD SD_time
RBC geo AR1 1.32 3661 1.09 0.17
RBC preinlet AR1 3.06 963 0.1 0.06
RBC inlet AR1 3.05 170 0.06 0.12
RBC outlet AR1 2.44 119 0.04 0.1
PLT geo AR1 0.83 1929 1 0.24
PLT preinlet AR1 2.52 388 0.44 0.18
PLT inlet AR1 2.5 73 0.16 0.58
PLT outlet AR1 2.22 39 0.06 0.27
RBC geo AR2 2.74 1800 1.31 0.3
RBC preinlet AR2 3.06 978 0.09 0.05
RBC inlet AR2 3.06 175 0.05 0.12
RBC outlet AR2 2.49 125 0.04 0.11
PLT geo AR2 2 850 1.33 0.55
PLT preinlet AR2 2.58 394 0.45 0.2
PLT inlet AR2 2.57 69 0.22 0.7
PLT outlet AR2 2.16 52 0.09 0.31
RBC geo AR2s 2.34 1504 1.29 0.43
RBC preinlet AR2s 2.73 977 0.18 0.07
RBC inlet AR2s 3.18 174 0.6 1.6
RBC outlet AR2s 2.11 91 0.04 0.19
PLT geo AR2s 2.03 885 1.38 0.49
PLT preinlet AR2s 2.66 388 0.43 0.23
PLT inlet AR2s 2.91 76 0.29 1.28
PLT outlet AR2s 2.01 62 0.07 0.31
RBC geo AR3 3.18 1090 1.28 0.42
RBC preinlet AR3 3.09 680 0.06 0.04
RBC inlet AR3 3.14 126 0.18 0.47
RBC outlet AR3 2.72 73 0.32 1.51
PLT geo AR3 1.95 800 1.4 0.62
PLT preinlet AR3 2.43 390 0.3 0.11
PLT inlet AR3 2.65 78 0.1 0.28
PLT outlet AR3 2.48 50 0.18 0.55
